Revision;NumberOfLOC;NumberOfNonEmptyLOC;TotalNumberOfReferences;WholeProcessExecutionTime;ParsingAndIndexingOnlyExecutionTime;ExtractingTransformationsExecutionTime;MergeProcessOnlyExecutionTime
rev_01a62698_83ad1bc4;69821;63344;38673;20385;15804;4436;112
rev_0ca6fc9d_91bc88c9;67082;60836;37333;12996;8998;3839;138
rev_1b48d15c_c1ee9335;66865;60630;37189;12500;8797;3701;0
rev_21d8c188_384bf2cb;66098;59912;36729;12444;8621;3816;7
rev_21d8c188_f2fe1eac;65338;59261;36313;12273;8440;3696;116
rev_27b9f632_80158d6f;65881;59761;36556;12427;8491;3902;0
rev_2d1e4696_db2d5aa8;61266;55629;33659;12602;8436;3764;375
rev_38e20f43_e064bc48;61408;55754;33668;11687;7986;3689;0
rev_3a82c2f9_4ae8917d;70143;63624;38638;14267;9557;4499;166
rev_3ddc5469_615f5301;61167;55537;33535;12171;8645;3402;114
rev_4d94c5d0_834d3142;64975;58952;36112;12158;8288;3855;15
rev_74f4f7fa_8165206e;67778;61471;37748;12574;8641;3916;0
rev_8b57279f_c0325891;70215;63688;38690;13553;9172;4216;153
rev_8b5fb7be_9e1ca808;66992;60743;37230;12594;8819;3765;0
rev_9e1ca808_b0244150;67047;60803;37316;12506;8519;3859;115
